plant_id,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source
26167,0,0,0,0,0,0,0,U.S. Energy Information Administration
26168,1983.817,2066.584,1659.524,1829.154,1821.192,2183.532,2237.527,U.S. Energy Information Administration
26169,0,0,0,0,0,0,1.37,U.S. Energy Information Administration
26170,0,0,0,3.053,68.987,67.811,64.316,U.S. Energy Information Administration
26171,320.829,316.68,296.624,324.918,317.735,330.326,320.798,U.S. Energy Information Administration
26172,149.015,146.526,140.995,134.874,138.248,130.173,122.795,U.S. Energy Information Administration
26173,11004.38218,10700.74939,8835.499998,9180.920956,10498.7331,10038.33499,9640.233027,U.S. Energy Information Administration
26174,9.127,9.48248,8.20064,9.054,11.957,10.547,14.019,U.S. Energy Information Administration
26175,104.55362,90.563012,83.60756,58.937452,72.360526,78.382568,103.44352,U.S. Energy Information Administration
26176,11.85114,13.463,10.6,10.884,10.885,10.66632,0,U.S. Energy Information Administration
26177,10.4469,10.7379,0,0,0,0,6.19151,U.S. Energy Information Administration
26178,5.69002,5.06049,4.86067,4.41059,2.41336,1.19116,1.69847,U.S. Energy Information Administration
26179,143.021,71.782,82.182,85.487,325.222,114.369,133.017,U.S. Energy Information Administration
26180,368.398,289.603,220.738,307.41,466.865,358.407,678.61,U.S. Energy Information Administration
26181,6.656,4.413,4.78,3.797,2.354,0.552,0,U.S. Energy Information Administration
26182,0,0,0,0,0,5.442,5.726,U.S. Energy Information Administration
26183,0,0,0,0,0,0,0,
26184,11.996,3.132,32.02,16.219,20.037,14.199,15.894,U.S. Energy Information Administration
26185,0,0,0,0,0,0.612,6.399,U.S. Energy Information Administration
26186,8.736,9.654,9.221,8.817,8.118,8.318,8.122,U.S. Energy Information Administration
26187,0,0,0,0,0,0,5.911,U.S. Energy Information Administration
26188,0,0,0,0,0,132.599,372.058,U.S. Energy Information Administration
26189,0.233,0.01274,0.274,0.274,0.287,0.191,0.362,U.S. Energy Information Administration
26190,251.371,280.438,199.221,260.70363,263.759,165.889,42.329,U.S. Energy Information Administration
26191,0.14,0.214,0.142,0.086,0.227,0.174,0.044,U.S. Energy Information Administration
26192,0.00686,0,0,0.00686,0,0.00588,0.00784,U.S. Energy Information Administration
26193,0,0,0,0.031,6.787,6.605,7.166,U.S. Energy Information Administration
26194,0,0,0,0,0,0,0.263,U.S. Energy Information Administration
26195,0,0,73.7,579.696,649.012,654.325,610.661,U.S. Energy Information Administration
26196,101.031,106.981,104.959,70.029,70.86,124.077,76.107,U.S. Energy Information Administration
26197,41.333,0,307.320002,0,0,149.281001,50.152,U.S. Energy Information Administration
26198,2.042,1.99,2.14,2.121,1.917,1.844,1.938,U.S. Energy Information Administration
26199,0,0,0,0,0,6.732,6.666,U.S. Energy Information Administration
26200,0,0,76.495,91.593,88.296,76.961,76.086,U.S. Energy Information Administration
26201,0,0,0,0,465.335,4713.968,5201.771,U.S. Energy Information Administration
26202,533.811,517.495,507.127,515.448,491.02,434.528,402.551,U.S. Energy Information Administration
26203,0.259,0,-0.492,0.043,0,0,0,U.S. Energy Information Administration
26204,280.08847,35.961,33.199,37.159,4.841,0,24.729,U.S. Energy Information Administration
26205,400.556003,395.452002,416.065999,380.260996,286.634996,368.117004,292.516004,U.S. Energy Information Administration
