plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
560,Leinster Nickel Mine,AUS0000212,59,4,,1033314,,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
561,Lemonthyme,AUS0000132,81.6,6,,1019019,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
562,Leonards Hill,AUS0000341,4.1,#N/A,,,,Hepburn Community Wind Park Co-operative Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
563,Leonora,AUS0000409,4.43,4,,1100968,,Energy Developments,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
564,Liapootah,AUS0000123,87.3,6,,1019020,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
565,Liddell,AUS0000280,2200,1,,1014209,,Macquarie Generation,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
566,Liddell Solar Thermal,AUS0000473,9.3,11,,,,Macquarie Generation,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
567,Lilyvale Solar Farm,AUS0000582,100,11,,,,FRV Fotowatio Renewable Ventures,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
568,Lincoln Gap,AUS0000620,10,#N/A,,,,Nexif Energy Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
569,Longford,AUS0000091,31,4,,1016695,,TRUenergy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
570,Lonsdale,AUS0000234,20,8,,1053091,,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
571,Lower Lake Margaret,AUS0000131,3.2,6,,1083938,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
572,Lower Rubicon,AUS0000338,13.55,6,,1030168,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
573,Loy Yang A,AUS0000092,2180,1,,1022059,,GEAC Great Energy Alliance Corporation,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
574,Loy Yang B,AUS0000075,1000,1,,1014020,,IPM Australia Limited,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
575,Lucas Heights I,AUS0000037,5.39,13,,1016476,,Energy Developments LFG (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
576,Lucas Heights II,AUS0000036,16,13,,1069579,,Energy Developments LFG (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
577,Macarthur Wind Farm,AUS0000417,420,#N/A,,1067793,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
578,Mackay,AUS0000146,30,4,,1010517,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
579,Mackintosh,AUS0000142,79.9,6,,1019021,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
580,Macknade Sugar Mill,AUS0000174,8,2,,1040615,,Sucrogen (Herbert) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
